Lesion_ID,ground_truth,EXPERT_1,EXPERT_2,EXPERT_3,EXPERT_4,BEGINNER_1,BEGINNER_2,BEGINNER_3,BINARY_EXPERT_1,BINARY_EXPERT_2,BINARY_EXPERT_3,BINARY_EXPERT_4,BINARY_BEGINNER_1,BINARY_BEGINNER_2,BINARY_BEGINNER_3
hyperplasic_13,hyperplasic,adenoma,hyperplasic,adenoma,adenoma,adenoma,adenoma,serrated,resection,no-resection,resection,resection,resection,resection,resection
hyperplasic_14,hyperplasic,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_23,adenoma,hyperplasic,adenoma,hyperplasic,serrated,adenoma,adenoma,hyperplasic,no-resection,resection,no-resection,resection,resection,resection,no-resection
hyperplasic_16,hyperplasic,serrated,hyperplasic,serrated,adenoma,adenoma,adenoma,hyperplasic,resection,no-resection,resection,resection,resection,resection,no-resection
serrated_1,serrated,adenoma,adenoma,adenoma,serrated,serrated,serrated,adenoma,resection,resection,resection,resection,resection,resection,resection
serrated_2,serrated,adenoma,hyperplasic,serrated,adenoma,adenoma,adenoma,adenoma,resection,no-resection,resection,resection,resection,resection,resection
serrated_3,serrated,adenoma,serrated,adenoma,serrated,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
serrated_4,serrated,serrated,serrated,adenoma,adenoma,hyperplasic,adenoma,hyperplasic,resection,resection,resection,resection,no-resection,resection,no-resection
hyperplasic_9,hyperplasic,adenoma,hyperplasic,hyperplasic,hyperplasic,adenoma,hyperplasic,hyperplasic,resection,no-resection,no-resection,no-resection,resection,no-resection,no-resection
serrated_6,serrated,serrated,serrated,serrated,serrated,serrated,adenoma,hyperplasic,resection,resection,resection,resection,resection,resection,no-resection
hyperplasic_10,hyperplasic,adenoma,hyperplasic,hyperplasic,hyperplasic,adenoma,adenoma,serrated,resection,no-resection,no-resection,no-resection,resection,resection,resection
adenoma_1,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_30,adenoma,adenoma,adenoma,adenoma,adenoma,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
hyperplasic_17,hyperplasic,hyperplasic,hyperplasic,adenoma,adenoma,adenoma,hyperplasic,adenoma,no-resection,no-resection,resection,resection,resection,no-resection,resection
serrated_9,serrated,serrated,serrated,serrated,serrated,serrated,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_31,adenoma,serrated,hyperplasic,adenoma,hyperplasic,serrated,adenoma,hyperplasic,resection,no-resection,resection,no-resection,resection,resection,no-resection
hyperplasic_18,hyperplasic,adenoma,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,hyperplasic,resection,no-resection,no-resection,no-resection,no-resection,resection,no-resection
serrated_10,serrated,serrated,serrated,serrated,serrated,serrated,serrated,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_32,adenoma,adenoma,adenoma,hyperplasic,adenoma,adenoma,adenoma,adenoma,resection,resection,no-resection,resection,resection,resection,resection
hyperplasic_19,hyperplasic,hyperplasic,hyperplasic,hyperplasic,adenoma,adenoma,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,resection,resection,no-resection,no-resection
serrated_11,serrated,serrated,hyperplasic,serrated,serrated,serrated,adenoma,serrated,resection,no-resection,resection,resection,resection,resection,resection
adenoma_33,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
hyperplasic_20,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection
serrated_12,serrated,serrated,adenoma,serrated,adenoma,serrated,adenoma,serrated,resection,resection,resection,resection,resection,resection,resection
adenoma_34,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
hyperplasic_21,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,hyperplasic,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection,no-resection
serrated_13,serrated,serrated,hyperplasic,serrated,serrated,hyperplasic,serrated,hyperplasic,resection,no-resection,resection,resection,no-resection,resection,no-resection
adenoma_35,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
serrated_14,serrated,adenoma,hyperplasic,serrated,serrated,serrated,serrated,serrated,resection,no-resection,resection,resection,resection,resection,resection
adenoma_36,adenoma,adenoma,adenoma,hyperplasic,hyperplasic,adenoma,adenoma,adenoma,resection,resection,no-resection,no-resection,resection,resection,resection
serrated_15,serrated,adenoma,serrated,serrated,serrated,adenoma,serrated,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_37,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,adenoma,resection,resection,resection,resection,resection,resection,resection
adenoma_38,adenoma,adenoma,adenoma,adenoma,hyperplasic,adenoma,adenoma,serrated,resection,resection,resection,no-resection,resection,resection,resection
adenoma_39,adenoma,adenoma,adenoma,adenoma,hyperplasic,adenoma,adenoma,hyperplasic,resection,resection,resection,no-resection,resection,resection,no-resection
adenoma_40,adenoma,serrated,adenoma,hyperplasic,serrated,serrated,adenoma,hyperplasic,resection,resection,no-resection,resection,resection,resection,no-resection
